"macro","external_ref_count","external_refs","self_ref_count"
"_abort","63","src\pipr\pipr.sas:129; src\pipr\pipr.sas:294; src\pipr\pipr.sas:296; src\pipr\pipr.sas:297; src\pipr\pipr.sas:317; src\pipr\pipr.sas:375; src\pipr\pipr.sas:431; src\pipr\validation.sas:107","12"
"_pipr_autorun_tests","23","src\pipr\pipr.sas:1176; src\pipr\pipr.sas:1177; src\pipr\validation.sas:338; src\pipr\util.sas:192; src\pipr\_verbs\collect_to.sas:123; src\pipr\_verbs\keep.sas:107; src\pipr\_verbs\drop.sas:106; src\pipr\_verbs\summarise.sas:164","1"
"_pipr_require_assert","23","src\pipr\pipr.sas:519; src\pipr\pipr.sas:869; src\pipr\validation.sas:223; src\pipr\util.sas:136; src\pipr\_verbs\collect_to.sas:64; src\pipr\_verbs\keep.sas:60; src\pipr\_verbs\drop.sas:59; src\pipr\_verbs\summarise.sas:71","1"
"_pred_expand_expr","2","src\pipr\_verbs\filter.sas:193; src\pipr\_verbs\mutate.sas:165","2"
"_bootstrap_preds","0","","1"
"_convert_regex_to_prx","0","","6"
"_escape_regex_chars","0","","4"
"_pred_bind_lambda","0","","1"
"_pred_bool","0","","7"
"_pred_compile_macro","0","","2"
"_pred_contains","0","","0"
"_pred_dbg","0","","3"
"_pred_ends_with","0","","0"
"_pred_eval_for_col","0","","1"
"_pred_eval_registered_call","0","","1"
"_pred_find_call","0","","1"
"_pred_if_all","0","","0"
"_pred_if_any","0","","0"
"_pred_is_between","0","","2"
"_pred_is_between_dates","0","","0"
"_pred_is_in_format","0","","0"
"_pred_is_like","0","","0"
"_pred_is_missing","0","","3"
"_pred_is_na_like","0","","0"
"_pred_is_not_missing","0","","0"
"_pred_is_outside","0","","0"
"_pred_lambda_normalize","0","","1"
"_pred_log","0","","27"
"_pred_logging_enabled","0","","3"
"_pred_logging_off","0","","0"
"_pred_logging_on","0","","0"
"_pred_macro_for","0","","5"
"_pred_matches","0","","2"
"_pred_parse_if_args","0","","2"
"_pred_parse_pred_spec","0","","4"
"_pred_reduce","0","","2"
"_pred_registry_add","0","","16"
"_pred_registry_reset","0","","1"
"_pred_require_nonempty","0","","5"
"_pred_resolve_gen_args","0","","2"
"_pred_split_parmbuff","0","","2"
"_pred_sql_like_to_prx","0","","2"
"_pred_starts_with","0","","0"
"_pred_strip_quotes","0","","7"
"_pred_trace_enabled","0","","4"
"_pred_trace_expand_enabled","0","","1"
"_trim_semis_from_str","0","","4"
"gen_function","0","","3"
"gen_predicate","0","","26"
"init_pred_logging","0","","1"
"list_functions","0","","2"
"predicate","0","","1"
"test_pipr_predicates","0","","0"
